Gender,Position,Type,Date Hired,Campus,Employment Status,Date of Birth,Years of Service,Age
Male,INSTRUCTOR III,FACULTY,11 02 2017,Janiuay Campus,PERMANENT,1 03 1978,6,45
Male,ASSOCIATE PROFESSOR II,FACULTY,15 06 2004,Janiuay Campus,PERMANENT,9 07 1977,18,45
Female,ASSISTANT PROFESSOR IV,FACULTY,20 09 2010,Janiuay Campus,PERMANENT,18 07 1976,12,46
Female,ASSISTANT PROFESSOR I,FACULTY,1 05 2015,Janiuay Campus,PERMANENT,22 11 1976,7,46
Male,INSTRUCTOR III,FACULTY,11 02 2015,Janiuay Campus,PERMANENT,31 08 1976,8,46
Female,ASSOCIATE PROFESSOR V,FACULTY,8 01 2005,Janiuay Campus,PERMANENT,6 08 1975,18,47
Female,INSTRUCTOR I,FACULTY,3 01 1998,Janiuay Campus,PERMANENT,15 03 1975,25,48
Female,ASSISTANT PROFESSOR IV,FACULTY,1 06 2014,Janiuay Campus,PERMANENT,3 01 1975,8,48
Female,INSTRUCTOR II,FACULTY,16 07 1999,Janiuay Campus,PERMANENT,31 03 1975,23,48
Female,ASSISTANT PROFESSOR IV,FACULTY,1 03 2010,Janiuay Campus,PERMANENT,4 06 1973,13,49
Female,ADMINISTRATIVE AIDE IV,STAFF,16 12 2000,Janiuay Campus,PERMANENT,25 10 1971,22,51
Male,ADMINISTRATIVE AIDE IV,STAFF,11 02 2011,Janiuay Campus,PERMANENT,18 12 1971,12,51
Female,ASSISTANT PROFESSOR II,FACULTY,9 01 2014,Janiuay Campus,PERMANENT,1 01 1972,9,51
Female,ASSOCIATE PROFESSOR I,FACULTY,6 12 2007,Janiuay Campus,PERMANENT,11 10 1970,15,52
Female,ASSISTANT PROFESSOR III,FACULTY,6 01 2017,Janiuay Campus,PERMANENT,26 08 1969,6,53
Male,ASSOCIATE PROFESSOR III,FACULTY,20 06 1994,Janiuay Campus,PERMANENT,13 05 1968,28,54
Female,ASSOCIATE PROFESSOR II,FACULTY,1 03 2011,Janiuay Campus,PERMANENT,27 07 1967,12,55
Female,ASSISTANT PROFESSOR IV,FACULTY,6 01 2017,Janiuay Campus,PERMANENT,27 02 1967,6,56
Female,ASSOCIATE PROFESSOR IV,FACULTY,20 09 1988,Janiuay Campus,PERMANENT,25 03 1967,34,56
Male,SECURITY GUARD II,STAFF,14 02 1997,Janiuay Campus,PERMANENT,3 02 1967,26,56
Female,ADMINISTRATIVE AIDE IV,STAFF,3 01 2022,Janiuay Campus,PERMANENT,12 01 1967,1,56
Female,ASSISTANT PROFESSOR IV,FACULTY,7 07 1986,Janiuay Campus,PERMANENT,25 01 1965,36,58
Male,ASSOCIATE PROFESSOR V,FACULTY,9 01 1988,Janiuay Campus,PERMANENT,6 07 1964,35,58
Female,ASSOCIATE PROFESSOR V,FACULTY,15 09 1988,Janiuay Campus,PERMANENT,1 09 1964,34,58
Female,ASSOCIATE PROFESSOR IV,FACULTY,20 06 1987,Janiuay Campus,PERMANENT,1 01 1965,35,58
Male,ASSISTANT PROFESSOR I,FACULTY,8 05 1986,Janiuay Campus,PERMANENT,13 02 1963,36,60
Male,ASSISTANT PROFESSOR IV,FACULTY,11 02 2015,Janiuay Campus,PERMANENT,28 06 1990,8,32
Female,INSTRUCTOR I,FACULTY,1 11 2019,Janiuay Campus,PERMANENT,21 08 1989,3,33
Male,SECURITY GUARD I,STAFF,6 01 2021,Janiuay Campus,PERMANENT,9 01 1988,2,35
Female,GUIDANCE COORDINATOR III,STAFF,6 01 2012,Janiuay Campus,PERMANENT,11 07 1986,11,36
Female,ASSISTANT PROFESSOR II,FACULTY,1 06 2014,Janiuay Campus,PERMANENT,25 08 1985,8,37
Female,ASSOCIATE PROFESSOR V,FACULTY,13 06 2017,Janiuay Campus,PERMANENT,19 03 1985,5,38
Female,ASSISTANT PROFESSOR II,FACULTY,6 06 2015,Janiuay Campus,PERMANENT,18 07 1983,7,39
Male,ASSOCIATE PROFESSOR II,FACULTY,16 08 2006,Janiuay Campus,PERMANENT,31 03 1984,16,39
Female,ASSISTANT PROFESSOR IV,FACULTY,19 12 2011,Janiuay Campus,PERMANENT,28 09 1981,11,41
Female,ADMINISTRATIVE OFFICER I,STAFF,7 06 2021,Janiuay Campus,PERMANENT,16 11 1981,1,41
Male,INSTRUCTOR I,FACULTY,3 11 2010,Janiuay Campus,PERMANENT,22 02 1981,12,42
Male,INSTRUCTOR I,FACULTY,3 11 2010,Janiuay Campus,PERMANENT,22 02 1981,12,42
Male,INSTRUCTOR III,FACULTY,8 01 2018,Janiuay Campus,PERMANENT,10 02 1981,5,42
Male,ASSISTANT PROFESSOR III,FACULTY,1 06 2014,Janiuay Campus,PERMANENT,14 01 1978,8,45
Female,ASSOCIATE PROFESSOR IV,FACULTY,7 03 2006,Janiuay Campus,PERMANENT,21 07 1977,17,45
Female,INSTRUCTOR I,FACULTY,1 10 2019,Janiuay Campus,PERMANENT,8 12 1976,3,46
Male,ASSISTANT PROFESSOR II,FACULTY,11 02 2015,Janiuay Campus,PERMANENT,3 01 1972,8,51
Female,INSTRUCTOR I,FACULTY,1 03 2002,Janiuay Campus,PERMANENT,6 04 1971,21,52
Female,ASSOCIATE PROFESSOR II,FACULTY,19 12 2011,Janiuay Campus,PERMANENT,13 04 1967,11,56
Female,ASSOCIATE PROFESSOR III,FACULTY,6 10 1991,Janiuay Campus,PERMANENT,29 05 1964,31,58
Female,ADMINISTRATIVE AIDE IV,STAFF,3 11 2014,Janiuay Campus,PERMANENT,6 09 1964,8,58
Female,ASSOCIATE PROFESSOR II,FACULTY,4 01 1986,Janiuay Campus,PERMANENT,11 09 1964,37,58
Female,REGISTRAR III,STAFF,2 01 1991,Janiuay Campus,PERMANENT,26 07 1963,32,59
Male,ADMINISTRATIVE AIDE IV,STAFF,2 10 2017,Lambunao Campus,PERMANENT,30 12 1993,5,29
Female,ADMINISTRATIVE OFFICER I,STAFF,17 10 2016,Lambunao Campus,PERMANENT,19 01 1994,6,29
Female,ASSISTANT PROFESSOR III,FACULTY,13 06 2017,Lambunao Campus,PERMANENT,20 03 1992,5,31
Male,ASSISTANT PROFESSOR III,FACULTY,2 06 2014,Lambunao Campus,PERMANENT,19 05 1989,8,33
Male,ASSISTANT PROFESSOR III,FACULTY,2 06 2014,Lambunao Campus,PERMANENT,19 05 1989,8,33
Female,INSTRUCTOR III,FACULTY,4 09 2017,Lambunao Campus,PERMANENT,20 01 1989,5,34
Female,ADMINISTRATIVE ASSISTANT II,FACULTY,7 10 2014,Lambunao Campus,PERMANENT,27 05 1988,8,34
Male,ASSISTANT PROFESSOR III,FACULTY,27 12 2010,Lambunao Campus,PERMANENT,17 07 1987,12,35
Male,INSTRUCTOR I,FACULTY,14 11 2011,Lambunao Campus,PERMANENT,13 04 1987,11,35
Female,ASSISTANT PROFESSOR II,FACULTY,6 01 2014,Lambunao Campus,PERMANENT,4 03 1987,9,36
Female,NURSE III,STAFF,24 03 2015,Lambunao Campus,PERMANENT,21 03 1987,8,36
Male,ASSOCIATE PROFESSOR II,FACULTY,16 07 2012,Lambunao Campus,PERMANENT,7 06 1985,10,37
Male,ASSISTANT PROFESSOR IV,FACULTY,13 06 2011,Lambunao Campus,PERMANENT,14 03 1986,11,37
Female,ASSISTANT PROFESSOR III,FACULTY,3 01 2017,Lambunao Campus,PERMANENT,10 09 1983,6,39
Female,COLLEGE LIBRARIAN II,STAFF,27 09 2005,Lambunao Campus,PERMANENT,23 01 1982,17,41
Female,ASSOCIATE PROFESSOR II,FACULTY,26 12 2002,Lambunao Campus,PERMANENT,20 08 1980,20,42
Female,ASSOCIATE PROFESSOR I,FACULTY,16 11 2007,Lambunao Campus,PERMANENT,28 01 1980,15,43
Female,ASSISTANT PROFESSOR III,FACULTY,17 06 2002,Lambunao Campus,PERMANENT,19 10 1979,20,43
Male,ASSOCIATE PROFESSOR V,FACULTY,14 11 2011,Lambunao Campus,PERMANENT,18 03 1979,11,44
Male,ASSISTANT PROFESSOR III,FACULTY,11 07 2007,Lambunao Campus,PERMANENT,20 07 1978,15,44
Female,ASSISTANT PROFESSOR II,FACULTY,16 08 2005,Lambunao Campus,PERMANENT,19 02 1977,17,46
Male,ASSISTANT PROFESSOR III,FACULTY,1 02 2011,Lambunao Campus,PERMANENT,22 08 1976,12,46
Female,ASSOCIATE PROFESSOR I,FACULTY,3 11 1999,Lambunao Campus,PERMANENT,31 05 1974,23,48
Female,ASSISTANT PROFESSOR IV,FACULTY,16 07 2014,Lambunao Campus,PERMANENT,26 06 1972,8,50
Female,ASSOCIATE PROFESSOR III,FACULTY,24 11 2008,Lambunao Campus,PERMANENT,1 02 1971,14,52
Female,ASSOCIATE PROFESSOR III,FACULTY,5 07 1996,Lambunao Campus,PERMANENT,5 01 1971,26,52
Male,ADMINISTRATIVE AIDE III (CT),STAFF,8 03 1995,Lambunao Campus,PERMANENT,3 03 1971,28,52
Male,ASSOCIATE PROFESSOR V,FACULTY,26 10 2001,Lambunao Campus,PERMANENT,21 10 1970,21,52
Male,SECURITY GUARD I,STAFF,8 08 2013,Lambunao Campus,PERMANENT,7 11 1969,9,53
Female,ASSOCIATE PROFESSOR I,FACULTY,9 09 1990,Lambunao Campus,PERMANENT,26 02 1967,32,56
Female,ADMINISTRATIVE OFFICER V,STAFF,26 10 1987,Lambunao Campus,PERMANENT,30 06 1964,35,58
Female,ASSOCIATE PROFESSOR V,FACULTY,15 06 1987,Lambunao Campus,PERMANENT,1 07 1963,35,59
Male,ASSISTANT PROFESSOR III,FACULTY,6 11 2005,Lambunao Campus,PERMANENT,27 11 1959,17,63
Female,ASSISTANT PROFESSOR I,FACULTY,3 08 1992,Lambunao Campus,PERMANENT,8 09 1958,30,64
Female,ADMINISTRATIVE OFFICER I,STAFF,19 02 2018,Lambunao Campus,PERMANENT,14 07 1994,5,28
Male,ASSOCIATE PROFESSOR III,FACULTY,1 06 2013,Lambunao Campus,PERMANENT,23 08 1990,9,32
Male,ASSISTANT PROFESSOR III,FACULTY,18 07 2017,Lambunao Campus,PERMANENT,9 11 1990,5,32
Male,INSTRUCTOR III,FACULTY,13 06 2017,Lambunao Campus,PERMANENT,14 05 1989,5,33
Male,INSTRUCTOR I,FACULTY,14 11 2011,Lambunao Campus,PERMANENT,6 01 1988,11,35
Male,ADMINISTRATIVE AIDE IV,FACULTY,3 10 2011,Lambunao Campus,PERMANENT,16 10 1986,11,36
Female,ASSISTANT PROFESSOR III,FACULTY,13 02 2014,Lambunao Campus,PERMANENT,25 02 1986,9,37
Female,ASSOCIATE PROFESSOR IV,FACULTY,16 08 2014,Lambunao Campus,PERMANENT,20 09 1984,8,38
Male,ASSOCIATE PROFESSOR III,FACULTY,14 11 2011,Lambunao Campus,PERMANENT,13 02 1984,11,39
Male,ADMINISTRATIVE AIDE III (CT),FACULTY,8 08 2013,Lambunao Campus,PERMANENT,3 03 1983,9,40
Female,ASSOCIATE PROFESSOR IV,FACULTY,11 07 2007,Lambunao Campus,PERMANENT,27 03 1981,15,42
Male,ASSISTANT PROFESSOR I,FACULTY,14 08 2017,Lambunao Campus,PERMANENT,6 10 1980,5,42
Male,ASSISTANT PROFESSOR IV,FACULTY,22 06 2009,Lambunao Campus,PERMANENT,25 08 1979,13,43
Female,ASSISTANT PROFESSOR III,FACULTY,27 06 2011,Lambunao Campus,PERMANENT,12 02 1978,11,45
Male,ASSISTANT PROFESSOR III,FACULTY,16 09 2014,Lambunao Campus,PERMANENT,17 07 1976,8,46
Female,REGISTRAR III,STAFF,17 01 2017,Lambunao Campus,PERMANENT,14 12 1976,6,46
Male,ASSOCIATE PROFESSOR III,FACULTY,30 10 2000,Lambunao Campus,PERMANENT,13 06 1974,22,48
Male,ASSISTANT PROFESSOR III,FACULTY,8 08 2011,Lambunao Campus,PERMANENT,14 04 1973,11,49
Female,ASSOCIATE PROFESSOR V,FACULTY,17 11 2008,Lambunao Campus,PERMANENT,9 12 1972,14,50
Female,ASSOCIATE PROFESSOR IV,FACULTY,16 06 2003,Lambunao Campus,PERMANENT,18 09 1971,19,51
Male,ASSOCIATE PROFESSOR II,FACULTY,14 01 1991,Lambunao Campus,PERMANENT,15 09 1967,32,55
Male,ASSISTANT PROFESSOR IV,FACULTY,11 07 2007,Lambunao Campus,PERMANENT,4 08 1966,15,56
Female,ASSISTANT PROFESSOR III,FACULTY,1 02 2011,Lambunao Campus,PERMANENT,14 11 1964,12,58
Female,ASSOCIATE PROFESSOR III,FACULTY,8 07 1985,Lambunao Campus,PERMANENT,31 08 1964,37,58
Female,ASSOCIATE PROFESSOR I,FACULTY,19 07 1989,Lambunao Campus,PERMANENT,27 07 1962,33,60
Female,ASSOCIATE PROFESSOR IV,FACULTY,30 01 1984,Lambunao Campus,PERMANENT,26 09 1961,39,61
Female,ADMINISTRATIVE AIDE VI,STAFF,18 11 1996,Lambunao Campus,PERMANENT,22 05 1961,26,61
Female,ACCOUNTANT II,STAFF,8 01 2019,Lambunao Campus,PERMANENT,22 04 1993,4,29
Female,GUIDANCE COUNSELOR III,STAFF,11 12 2019,Lambunao Campus,PERMANENT,21 03 1994,3,29
Female,ASSISTANT PROFESSOR II,STAFF,5 11 2012,Lambunao Campus,PERMANENT,8 03 1991,10,32
Male,INSTRUCTOR I,FACULTY,1 12 2021,Lambunao Campus,PERMANENT,6 02 1991,1,32
Male,ASSISTANT PROFESSOR II,FACULTY,16 07 2014,Lambunao Campus,PERMANENT,28 05 1989,8,33
Female,INSTRUCTOR III,FACULTY,13 06 2017,Lambunao Campus,PERMANENT,18 11 1989,5,33
Male,ADMINISTRATIVE OFFICER II,STAFF,15 10 2015,Lambunao Campus,PERMANENT,16 01 1988,7,35
Female,INSTRUCTOR III,FACULTY,13 06 2017,Lambunao Campus,PERMANENT,15 03 1988,5,35
Female,ASSISTANT PROFESSOR II,FACULTY,8 08 2016,Lambunao Campus,PERMANENT,10 02 1987,6,36
Male,INSTRUCTOR I,FACULTY,1 12 2021,Lambunao Campus,PERMANENT,20 01 1987,1,36
Female,ASSISTANT PROFESSOR IV,FACULTY,6 01 2014,Lambunao Campus,PERMANENT,2 08 1985,9,37
Female,ASSISTANT PROFESSOR III,FACULTY,13 06 2017,Lambunao Campus,PERMANENT,13 04 1984,5,38
Female,ASSISTANT PROFESSOR IV,FACULTY,16 07 2014,Lambunao Campus,PERMANENT,2 12 1983,8,39
Female,ADMINISTRATIVE OFFICER II,STAFF,25 07 2016,Lambunao Campus,PERMANENT,2 02 1984,6,39
Male,ADMINISTRATIVE AIDE I (CT),STAFF,17 02 2003,Lambunao Campus,CO-TERMINUS (CTI),13 09 1982,20,40
Male,ADMINISTRATIVE AIDE III (CT),STAFF,15 10 2020,Lambunao Campus,PERMANENT,24 04 1982,2,40
Female,ASSISTANT PROFESSOR I,FACULTY,13 06 2017,Lambunao Campus,PERMANENT,19 01 1981,5,42
Male,INSTRUCTOR I,FACULTY,2 10 2017,Lambunao Campus,PERMANENT,9 05 1980,5,42
Female,ASSISTANT PROFESSOR III,FACULTY,1 06 2008,Lambunao Campus,PERMANENT,30 01 1979,14,44
Female,ASSOCIATE PROFESSOR III,FACULTY,20 06 2000,Lambunao Campus,PERMANENT,6 06 1978,22,44
Female,ASSOCIATE PROFESSOR V,FACULTY,25 12 2000,Lambunao Campus,PERMANENT,15 03 1978,22,45
Male,SECURITY GUARD I,FACULTY,17 08 2009,Lambunao Campus,PERMANENT,14 08 1976,13,46
Male,ASSISTANT PROFESSOR III,FACULTY,1 12 2006,Lambunao Campus,PERMANENT,4 03 1977,16,46
Male,INSTRUCTOR II,FACULTY,1 08 2007,Lambunao Campus,PERMANENT,17 10 1976,15,46
Male,ASSISTANT PROFESSOR I,FACULTY,13 06 2017,Lambunao Campus,PERMANENT,5 01 1975,5,48
Male,ASSOCIATE PROFESSOR III,FACULTY,25 06 1997,Lambunao Campus,PERMANENT,8 09 1973,25,49
Female,ASSOCIATE PROFESSOR III,FACULTY,24 03 1998,Lambunao Campus,PERMANENT,25 04 1973,25,49
Male,SECURITY GUARD I,STAFF,23 03 2016,Lambunao Campus,PERMANENT,19 08 1972,7,50
Female,ASSOCIATE PROFESSOR IV,FACULTY,16 06 2000,Lambunao Campus,PERMANENT,4 08 1969,22,53
Male,DENTIST II,STAFF,16 01 2003,Lambunao Campus,PERMANENT,8 08 1969,20,53
Male,INSTRUCTOR II,FACULTY,17 11 2008,Lambunao Campus,PERMANENT,29 12 1968,14,54
Female,ASSOCIATE PROFESSOR IV,FACULTY,3 11 2004,Lambunao Campus,PERMANENT,8 06 1967,18,55
Female,ASSOCIATE PROFESSOR V,FACULTY,23 09 1991,Lambunao Campus,PERMANENT,31 07 1966,31,56
Female,ASSOCIATE PROFESSOR V,FACULTY,23 08 1994,Lambunao Campus,PERMANENT,11 09 1965,28,57
Female,INSTRUCTOR III,FACULTY,1 08 1984,Lambunao Campus,PERMANENT,25 10 1963,38,59
Male,ASSOCIATE PROFESSOR V,FACULTY,24 06 1985,Lambunao Campus,PERMANENT,25 09 1962,37,60
Female,PROFESSOR VI,FACULTY,1 08 1984,Lambunao Campus,PERMANENT,19 06 1960,38,62
Female,ASSOCIATE PROFESSOR III,FACULTY,7 07 1981,Lambunao Campus,PERMANENT,26 11 1960,41,62
Female,ASSISTANT PROFESSOR III,FACULTY,5 11 2007,Lambunao Campus,PERMANENT,29 09 1959,15,63
Male,INSTRUCTOR III,FACULTY,6 07 1981,Lambunao Campus,PERMANENT,3 02 1960,41,63
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,17 11 2022,0,0
Male,ADMINISTRATIVE AIDE IV,STAFF,16 04 2002,Main Campus,PERMANENT,16 08 2012,20,10
Female,ADMINISTRATIVE AIDE IV,STAFF,2 01 2012,Main Campus,PERMANENT,12 03 2007,11,16
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,13 11 1999,0,23
Female,LECTURER II (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,2 03 2000,0,23
Female,LECTURER II (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,26 05 1999,0,23
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,13 12 1999,0,23
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,13 12 1999,0,23
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,2 10 1999,0,23
Female,ADMINISTRATIVE AIDE IV,STAFF,5 04 2021,Main Campus,PERMANENT,7 02 1999,1,24
Female,LECTURER II (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,22 03 1999,0,24
Female,ADMINISTRATIVE AIDE III,FACULTY,7 11 2022,Main Campus,JOB ORDER,14 12 1998,0,24
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,14 12 1997,0,25
Female,LECTURER I (UG),STAFF,15 08 2022,Main Campus,PART-TIME,14 12 1997,0,25
Female,ADMINISTRATIVE AIDE III,STAFF,16 05 2022,Main Campus,JOB ORDER,20 02 1998,0,25
Male,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,26 07 1997,0,25
Male,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,14 05 1996,0,26
Female,ACCOUNTANT II,STAFF,10 12 2018,Main Campus,JOB ORDER,20 11 1996,4,26
Male,LECTURER II (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,11 10 1996,0,26
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,11 09 1996,0,26
Female,ADMINISTRATIVE AIDE III,STAFF,16 07 2021,Main Campus,JOB ORDER,12 07 1994,1,28
Male,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,26 10 1994,0,28
Female,LECTURER II (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,6 02 1995,0,28
Male,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,10 08 1993,0,29
Male,SENIOR LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,8 06 1993,0,29
Male,ASSISTANT PROFESSOR II,FACULTY,23 07 2015,Main Campus,PERMANENT,22 04 1993,7,29
Female,ADMINISTRATIVE OFFICER II,STAFF,16 08 2016,Main Campus,PERMANENT,18 07 1993,6,29
Female,INSTRUCTOR I,FACULTY,4 01 2021,Main Campus,PERMANENT,21 05 1992,2,30
Female,ASSISTANT PROFESSOR II,FACULTY,27 06 2017,Main Campus,PERMANENT,22 02 1992,5,31
Female,ADMINISTRATIVE AIDE IV,STAFF,5 07 2019,Main Campus,PERMANENT,22 06 1991,3,31
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,5 12 1991,0,31
Female,INSTRUCTOR I,FACULTY,18 09 2017,Main Campus,PERMANENT,6 02 1991,5,32
Female,LECTURER III (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,8 09 1990,0,32
Male,INSTRUCTOR I,FACULTY,4 01 2021,Main Campus,PERMANENT,9 09 1990,2,32
Female,INSTRUCTOR III,FACULTY,10 06 2013,Main Campus,PERMANENT,2 10 1989,9,33
Male,PROFESSOR I,FACULTY,7 09 2015,Main Campus,PERMANENT,30 10 1989,7,33
Female,UNIVERSITY RESEARCH ASSOCIATE II,STAFF,19 04 2018,Main Campus,PERMANENT,29 12 1989,4,33
Male,LECTURER III (UG),FACULTY,14 09 2020,Main Campus,PART-TIME,28 04 1989,2,33
Male,ADMINISTRATIVE AIDE III,STAFF,7 07 2021,Main Campus,JOB ORDER,14 12 1989,1,33
Female,SENIOR LECTURER III (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,20 04 1989,0,33
Male,INSTRUCTOR III,FACULTY,10 06 2013,Main Campus,PERMANENT,9 01 1990,9,33
Female,ASSOCIATE PROFESSOR II,FACULTY,14 07 2015,Main Campus,PERMANENT,10 01 1990,7,33
Male,ADMINISTRATIVE AIDE III,FACULTY,4 04 2015,Main Campus,JOB ORDER,8 04 1989,7,34
Male,ADMINISTRATIVE AIDE III,STAFF,4 04 2015,Main Campus,JOB ORDER,8 04 1989,7,34
Female,ASSOCIATE PROFESSOR V,FACULTY,1 08 2006,Main Campus,PERMANENT,14 07 1988,16,34
Female,ADMINISTRATIVE AIDE III,STAFF,1 07 2009,Main Campus,JOB ORDER,12 01 1989,13,34
Female,ADMINISTRATIVE ASSISTANT II,STAFF,1 10 2019,Main Campus,PERMANENT,29 03 1989,3,34
Female,LECTURER II (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,26 09 1988,0,34
Female,ADMINISTRATIVE AIDE III,STAFF,13 10 2015,Main Campus,JOB ORDER,22 12 1987,7,35
Female,ASSOCIATE PROFESSOR II,FACULTY,15 06 2010,Main Campus,PERMANENT,12 08 1987,12,35
Male,INSTRUCTOR I,FACULTY,5 06 2010,Main Campus,PERMANENT,8 07 1986,12,36
Male,ASSOCIATE PROFESSOR IV,FACULTY,23 11 2011,Main Campus,PERMANENT,4 03 1987,11,36
Female,ADMINISTRATIVE AIDE IV,STAFF,2 01 2020,Main Campus,CASUAL,27 07 1986,3,36
Male,ADMINISTRATIVE ASSISTANT II,STAFF,8 08 2016,Main Campus,PERMANENT,25 02 1987,6,36
Female,LECTURER II (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,1 07 1986,0,36
Male,LABORATORY TECHNICIAN II,STAFF,7 06 2011,Main Campus,JOB ORDER,9 10 1985,11,37
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,13 11 1985,0,37
Female,ASSOCIATE PROFESSOR II,FACULTY,6 01 2004,Main Campus,PERMANENT,4 10 1985,19,37
Female,INSTRUCTOR I,FACULTY,1 03 2021,Main Campus,PERMANENT,27 11 1985,2,37
Female,ASSOCIATE PROFESSOR III,FACULTY,19 04 2018,Main Campus,PERMANENT,3 12 1985,4,37
Male,ASSOCIATE PROFESSOR V,FACULTY,10 07 2015,Main Campus,PERMANENT,29 03 1985,7,38
Male,ADMINISTRATIVE AIDE VI,STAFF,23 09 2013,Main Campus,PERMANENT,5 11 1984,9,38
Female,ADMINISTRATIVE ASSISTANT II,STAFF,16 03 2010,Main Campus,PERMANENT,10 02 1985,13,38
Male,LECTURER III (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,20 11 1984,0,38
Male,ADMINISTRATIVE ASSISTANT II,STAFF,4 06 2012,Main Campus,PERMANENT,21 08 1984,10,38
Female,ASSISTANT PROFESSOR I,FACULTY,13 06 2017,Main Campus,PERMANENT,7 02 1985,5,38
Female,INSTRUCTOR I,FACULTY,5 08 2019,Main Campus,PERMANENT,13 05 1984,3,38
Female,ASSISTANT PROFESSOR I,FACULTY,15 06 2010,Main Campus,PERMANENT,28 06 1983,12,39
Female,ASSISTANT PROFESSOR IV,FACULTY,15 06 2010,Main Campus,PERMANENT,13 07 1983,12,39
Female,ASSOCIATE PROFESSOR V,FACULTY,13 06 2013,Main Campus,PERMANENT,17 11 1983,9,39
Male,ASSOCIATE PROFESSOR V,FACULTY,16 07 2009,Main Campus,PERMANENT,10 02 1984,13,39
Male,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,13 12 1983,0,39
Male,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,13 12 1983,0,39
Male,ASSOCIATE PROFESSOR II,FACULTY,2 06 2008,Main Campus,PERMANENT,3 01 1984,14,39
Female,LECTURER I (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,18 07 1983,0,39
Male,ADMINISTRATIVE AIDE III,STAFF,1 04 2020,Main Campus,JOB ORDER,24 10 1983,3,39
Female,ASSISTANT PROFESSOR II,FACULTY,1 07 2014,Main Campus,PERMANENT,27 09 1982,8,40
Female,LECTURER II (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,22 07 1982,0,40
Female,DORMITORY MANAGER,STAFF,16 05 2016,Main Campus,PERMANENT,29 07 1982,6,40
Female,ASSOCIATE PROFESSOR V,FACULTY,10 06 2008,Main Campus,PERMANENT,10 04 1983,14,40
Male,ASSOCIATE PROFESSOR II,FACULTY,16 07 2009,Main Campus,PERMANENT,16 09 1982,13,40
Male,PROFESSOR VI,FACULTY,17 11 2008,Main Campus,PERMANENT,13 04 1982,14,40
Male,LECTURER II (UG),FACULTY,1 01 2022,Main Campus,PART-TIME,26 09 1982,1,40
Female,ADMINISTRATIVE AIDE  IV,STAFF,5 04 2021,Main Campus,PERMANENT,6 05 1982,1,40
Female,ADMINISTRATIVE ASSISTANT II,STAFF,23 09 2013,Main Campus,PERMANENT,6 05 1982,9,40
Female,LECTURER II (ML),FACULTY,22 02 2021,Main Campus,PART-TIME,20 11 1982,2,40
Female,ASSISTANT PROFESSOR I,FACULTY,1 06 2017,Main Campus,PERMANENT,5 06 1981,5,41
Male,PROFESSOR III,FACULTY,3 11 2003,Main Campus,PERMANENT,12 01 1982,19,41
Female,LECTURER III (UG),FACULTY,15 08 2022,Main Campus,PART-TIME,9 02 1982,0,41
Male,ASSOCIATE PROFESSOR V,FACULTY,15 06 2009,Main Campus,PERMANENT,8 02 1982,13,41
Male,ASSOCIATE PROFESSOR III,FACULTY,12 12 2016,Main Campus,PERMANENT,16 04 1981,6,41
Male,ASSISTANT PROFESSOR II,FACULTY,1 09 2020,Main Campus,PERMANENT,29 09 1981,2,41
Female,COLLEGE LIBRARIAN IV,STAFF,2 09 2002,Main Campus,PERMANENT,16 07 1981,20,41
Female,ASSOCIATE PROFESSOR II,FACULTY,14 12 2016,Main Campus,PERMANENT,29 09 1981,6,41
Female,ADMINISTRATIVE ASSISTANT II,STAFF,16 07 2008,Main Campus,PERMANENT,18 02 1982,14,41
Female,ADMINISTRATIVE AIDE III,STAFF,17 05 2021,Main Campus,CASUAL,22 09 1980,1,42
